nation,condition,year,sex,asdr
England,all_cvd,1969,Male,484.8791
England,all_cvd,1971,Male,472.1166
England,all_cvd,1973,Male,471.625
England,all_cvd,1975,Male,459.4817
England,all_cvd,1977,Male,445.1154
England,all_cvd,1979,Male,447.4339
England,all_cvd,1981,Male,418.1741
England,all_cvd,1983,Male,403.8525
England,all_cvd,1985,Male,384.1181
England,all_cvd,1987,Male,358.0857
England,all_cvd,1989,Male,329.2087
England,all_cvd,1991,Male,308.9631
England,all_cvd,1993,Male,293.3559
England,all_cvd,1994,Male,297.45388791766334
England,all_cvd,1995,Male,290.80934625545734
England,all_cvd,1996,Male,280.1810268820501
England,all_cvd,1997,Male,262.71616645518196
England,all_cvd,1998,Male,252.51517083471407
England,all_cvd,1999,Male,238.21970460912183
England,all_cvd,2000,Male,223.25040724713702
England,all_cvd,2001,Male,212.99730649088684
England,all_cvd,2002,Male,202.35960333164837
England,all_cvd,2003,Male,191.67468106557297
England,all_cvd,2004,Male,177.88466155820797
England,all_cvd,2005,Male,165.60360387228576
England,all_cvd,2006,Male,154.58346112669238
England,all_cvd,2007,Male,145.95099609791737
England,all_cvd,2008,Male,138.18578062428497
England,all_cvd,2009,Male,130.02851790304405
England,all_cvd,2010,Male,126.83052658765251
England,all_cvd,2011,Male,115.41215707038278
England,all_cvd,2012,Male,109.59611040462497
England,all_cvd,2013,Male,109.42573672185249
England,all_cvd,2014,Male,105.82842848998591
England,all_cvd,2015,Male,105.01728455906682
England,all_cvd,2016,Male,103.39994744870341
England,all_cvd,2017,Male,101.50610081654156
England,all_cvd,2018,Male,102.8119573239167
England,all_cvd,2019,Male,98.8927532193584
England,all_cvd,1969,Female,237.8309
England,all_cvd,1971,Female,222.3471
England,all_cvd,1973,Female,222.2704
England,all_cvd,1975,Female,211.2226
England,all_cvd,1977,Female,202.9677
England,all_cvd,1979,Female,201.4916
England,all_cvd,1981,Female,186.5601
England,all_cvd,1983,Female,179.0945
England,all_cvd,1985,Female,170.4657
England,all_cvd,1987,Female,159.832
England,all_cvd,1989,Female,150.2915
England,all_cvd,1991,Female,140.6804
England,all_cvd,1993,Female,133.8235
England,all_cvd,1994,Female,137.01408309326123
England,all_cvd,1995,Female,133.33456064850574
England,all_cvd,1996,Female,129.76137833699002
England,all_cvd,1997,Female,122.769587754674
England,all_cvd,1998,Female,119.1734280979246
England,all_cvd,1999,Female,111.03552749147786
England,all_cvd,2000,Female,102.78282558960089
England,all_cvd,2001,Female,98.8621489546201
England,all_cvd,2002,Female,93.55841574826727
England,all_cvd,2003,Female,88.93178976094063
England,all_cvd,2004,Female,80.79322036867892
England,all_cvd,2005,Female,75.93285916266987
England,all_cvd,2006,Female,71.33259081347491
England,all_cvd,2007,Female,66.43607782054848
England,all_cvd,2008,Female,63.153620853397015
England,all_cvd,2009,Female,57.46755371307107
England,all_cvd,2010,Female,55.90006490432651
England,all_cvd,2011,Female,51.64789448890563
England,all_cvd,2012,Female,50.681127252383575
England,all_cvd,2013,Female,48.5928251832207
England,all_cvd,2014,Female,46.943266784553785
England,all_cvd,2015,Female,47.92001268417989
England,all_cvd,2016,Female,46.94418555406207
England,all_cvd,2017,Female,45.33072591771283
England,all_cvd,2018,Female,45.49006758533238
England,all_cvd,2019,Female,43.77500297125035
Northern Ireland,all_cvd,1969,Male,566.1672
Northern Ireland,all_cvd,1971,Male,549.1797
Northern Ireland,all_cvd,1973,Male,576.451
Northern Ireland,all_cvd,1975,Male,567.0779
Northern Ireland,all_cvd,1977,Male,587.8397
Northern Ireland,all_cvd,1979,Male,582.8712
Northern Ireland,all_cvd,1981,Male,533.7618
Northern Ireland,all_cvd,1983,Male,494.577
Northern Ireland,all_cvd,1985,Male,472.9071
Northern Ireland,all_cvd,1987,Male,423.6093
Northern Ireland,all_cvd,1989,Male,403.7139
Northern Ireland,all_cvd,1991,Male,352.9485
Northern Ireland,all_cvd,1993,Male,346.1967
Northern Ireland,all_cvd,1994,Male,353.12702306392197
Northern Ireland,all_cvd,1995,Male,346.33528444940464
Northern Ireland,all_cvd,1996,Male,309.86119178531027
Northern Ireland,all_cvd,1997,Male,310.0359168788569
Northern Ireland,all_cvd,1998,Male,287.0489459908676
Northern Ireland,all_cvd,1999,Male,275.20036842229695
Northern Ireland,all_cvd,2000,Male,238.07276862590135
Northern Ireland,all_cvd,2001,Male,220.58164266703648
Northern Ireland,all_cvd,2002,Male,219.60182907222145
Northern Ireland,all_cvd,2003,Male,199.74997698313754
Northern Ireland,all_cvd,2004,Male,191.6961646139775
Northern Ireland,all_cvd,2005,Male,172.72817433612045
Northern Ireland,all_cvd,2006,Male,162.1060730966884
Northern Ireland,all_cvd,2007,Male,156.00338507269655
Northern Ireland,all_cvd,2008,Male,143.77382692006535
Northern Ireland,all_cvd,2009,Male,135.51012452130797
Northern Ireland,all_cvd,2010,Male,140.40722190646872
Northern Ireland,all_cvd,2011,Male,127.22047518670236
Northern Ireland,all_cvd,2012,Male,116.5302906448735
Northern Ireland,all_cvd,2013,Male,110.98463748575891
Northern Ireland,all_cvd,2014,Male,102.946139432366
Northern Ireland,all_cvd,2015,Male,104.13929255713326
Northern Ireland,all_cvd,2016,Male,100.1816852817865
Northern Ireland,all_cvd,2017,Male,103.36986699887152
Northern Ireland,all_cvd,2018,Male,96.27079358234121
Northern Ireland,all_cvd,2019,Male,96.44799168442826
Northern Ireland,all_cvd,1969,Female,311.6622
Northern Ireland,all_cvd,1971,Female,293.646
Northern Ireland,all_cvd,1973,Female,303.6658
Northern Ireland,all_cvd,1975,Female,281.985
Northern Ireland,all_cvd,1977,Female,278.4001
Northern Ireland,all_cvd,1979,Female,278.889
Northern Ireland,all_cvd,1981,Female,244.7958
Northern Ireland,all_cvd,1983,Female,241.9033
Northern Ireland,all_cvd,1985,Female,228.4953
Northern Ireland,all_cvd,1987,Female,200.1055
Northern Ireland,all_cvd,1989,Female,185.2134
Northern Ireland,all_cvd,1991,Female,168.4353
Northern Ireland,all_cvd,1993,Female,160.8425
Northern Ireland,all_cvd,1994,Female,172.61693630959223
Northern Ireland,all_cvd,1995,Female,170.29847939961036
Northern Ireland,all_cvd,1996,Female,152.27609221930356
Northern Ireland,all_cvd,1997,Female,142.14761260453088
Northern Ireland,all_cvd,1998,Female,128.85682489295368
Northern Ireland,all_cvd,1999,Female,125.43242370408088
Northern Ireland,all_cvd,2000,Female,111.59582459478125
Northern Ireland,all_cvd,2001,Female,106.02646140126618
Northern Ireland,all_cvd,2002,Female,103.59301128107774
Northern Ireland,all_cvd,2003,Female,86.87452389103187
Northern Ireland,all_cvd,2004,Female,89.52375780840777
Northern Ireland,all_cvd,2005,Female,82.17940216093945
Northern Ireland,all_cvd,2006,Female,81.39735282693056
Northern Ireland,all_cvd,2007,Female,71.19999254629951
Northern Ireland,all_cvd,2008,Female,71.79578552224262
Northern Ireland,all_cvd,2009,Female,68.19871416437775
Northern Ireland,all_cvd,2010,Female,64.17381380018278
Northern Ireland,all_cvd,2011,Female,51.77571026814502
Northern Ireland,all_cvd,2012,Female,46.39036829648616
Northern Ireland,all_cvd,2013,Female,50.4095950793705
Northern Ireland,all_cvd,2014,Female,48.141872763820245
Northern Ireland,all_cvd,2015,Female,50.62744059792073
Northern Ireland,all_cvd,2016,Female,49.36022670416546
Northern Ireland,all_cvd,2017,Female,46.9361716465134
Northern Ireland,all_cvd,2018,Female,45.44088198134596
Northern Ireland,all_cvd,2019,Female,44.63390921646265
Scotland,all_cvd,1969,Male,581.7431
Scotland,all_cvd,1971,Male,573.0029
Scotland,all_cvd,1973,Male,593.2709
Scotland,all_cvd,1975,Male,561.2882
Scotland,all_cvd,1977,Male,527.2775
Scotland,all_cvd,1979,Male,545.1229
Scotland,all_cvd,1981,Male,513.3663
Scotland,all_cvd,1983,Male,497.5551
Scotland,all_cvd,1985,Male,480.3106
Scotland,all_cvd,1987,Male,453.3888
Scotland,all_cvd,1989,Male,433.2839
Scotland,all_cvd,1991,Male,392.1519
Scotland,all_cvd,1993,Male,381.0044
Scotland,all_cvd,1994,Male,383.1413406472592
Scotland,all_cvd,1995,Male,369.6588922801287
Scotland,all_cvd,1996,Male,359.2557201712237
Scotland,all_cvd,1997,Male,337.90139202346006
Scotland,all_cvd,1998,Male,325.5008781848721
Scotland,all_cvd,1999,Male,307.1806153357754
Scotland,all_cvd,2000,Male,287.57695911871036
Scotland,all_cvd,2001,Male,263.9479410496672
Scotland,all_cvd,2002,Male,251.7417456640011
Scotland,all_cvd,2003,Male,244.22002132995104
Scotland,all_cvd,2004,Male,225.31725609881136
Scotland,all_cvd,2005,Male,213.86530510005184
Scotland,all_cvd,2006,Male,195.22295135881166
Scotland,all_cvd,2007,Male,198.09074355465535
Scotland,all_cvd,2008,Male,183.7278392933935
Scotland,all_cvd,2009,Male,163.64476830975897
Scotland,all_cvd,2010,Male,161.55557864147056
Scotland,all_cvd,2011,Male,151.11517536234368
Scotland,all_cvd,2012,Male,146.36310423410916
Scotland,all_cvd,2013,Male,143.16660618649178
Scotland,all_cvd,2014,Male,133.61417156748297
Scotland,all_cvd,2015,Male,139.62006808107265
Scotland,all_cvd,2016,Male,135.4504533811904
Scotland,all_cvd,2017,Male,133.77206780263433
Scotland,all_cvd,2018,Male,128.65855159966424
Scotland,all_cvd,2019,Male,125.30563093209811
Scotland,all_cvd,1969,Female,320.2966
Scotland,all_cvd,1971,Female,295.995
Scotland,all_cvd,1973,Female,296.5946
Scotland,all_cvd,1975,Female,275.6606
Scotland,all_cvd,1977,Female,267.6599
Scotland,all_cvd,1979,Female,274.7326
Scotland,all_cvd,1981,Female,259.351
Scotland,all_cvd,1983,Female,246.3491
Scotland,all_cvd,1985,Female,240.9514
Scotland,all_cvd,1987,Female,223.9337
Scotland,all_cvd,1989,Female,217.1085
Scotland,all_cvd,1991,Female,196.3694
Scotland,all_cvd,1993,Female,186.2654
Scotland,all_cvd,1994,Female,190.65673451467023
Scotland,all_cvd,1995,Female,181.5490820543763
Scotland,all_cvd,1996,Female,170.26032074891714
Scotland,all_cvd,1997,Female,167.6917250166112
Scotland,all_cvd,1998,Female,157.99965031504104
Scotland,all_cvd,1999,Female,149.20483177274446
Scotland,all_cvd,2000,Female,138.33239973331672
Scotland,all_cvd,2001,Female,128.60223792878952
Scotland,all_cvd,2002,Female,125.69976923485602
Scotland,all_cvd,2003,Female,116.69870009394211
Scotland,all_cvd,2004,Female,108.52907914805421
Scotland,all_cvd,2005,Female,102.13821912109246
Scotland,all_cvd,2006,Female,97.18368549834085
Scotland,all_cvd,2007,Female,91.55309098905295
Scotland,all_cvd,2008,Female,86.31642896971609
Scotland,all_cvd,2009,Female,79.9948620031527
Scotland,all_cvd,2010,Female,74.73811718811533
Scotland,all_cvd,2011,Female,70.60054953304228
Scotland,all_cvd,2012,Female,70.30155166708755
Scotland,all_cvd,2013,Female,68.00940491511557
Scotland,all_cvd,2014,Female,62.284827774047855
Scotland,all_cvd,2015,Female,65.39911917548538
Scotland,all_cvd,2016,Female,65.01928994917984
Scotland,all_cvd,2017,Female,63.79366834730874
Scotland,all_cvd,2018,Female,60.31227255399452
Scotland,all_cvd,2019,Female,60.94964366425523
United Kingdom,all_cvd,1969,Male,500.3216
United Kingdom,all_cvd,1971,Male,486.7595
United Kingdom,all_cvd,1973,Male,488.4594
United Kingdom,all_cvd,1975,Male,475.213
United Kingdom,all_cvd,1977,Male,459.4052
United Kingdom,all_cvd,1979,Male,461.9152
United Kingdom,all_cvd,1981,Male,431.7125
United Kingdom,all_cvd,1983,Male,417.1803
United Kingdom,all_cvd,1985,Male,396.983
United Kingdom,all_cvd,1987,Male,369.4169
United Kingdom,all_cvd,1989,Male,341.7404
United Kingdom,all_cvd,1991,Male,318.6877
United Kingdom,all_cvd,1993,Male,304.0546
United Kingdom,all_cvd,1994,Male,307.53693504483095
United Kingdom,all_cvd,1995,Male,300.6847476575741
United Kingdom,all_cvd,1996,Male,289.3313000510502
United Kingdom,all_cvd,1997,Male,272.28756553139874
United Kingdom,all_cvd,1998,Male,261.087040606487
United Kingdom,all_cvd,1999,Male,247.0937443473443
United Kingdom,all_cvd,2000,Male,230.50458504082272
United Kingdom,all_cvd,2001,Male,219.05086173391743
United Kingdom,all_cvd,2002,Male,208.54342639409265
United Kingdom,all_cvd,2003,Male,197.91472507765354
United Kingdom,all_cvd,2004,Male,183.06728092936316
United Kingdom,all_cvd,2005,Male,171.28616572137966
United Kingdom,all_cvd,2006,Male,159.26761713970845
United Kingdom,all_cvd,2007,Male,151.5750700392259
United Kingdom,all_cvd,2008,Male,143.0449188864486
United Kingdom,all_cvd,2009,Male,133.98060570234477
United Kingdom,all_cvd,2010,Male,130.7396844530028
United Kingdom,all_cvd,2011,Male,119.62058390272597
United Kingdom,all_cvd,2012,Male,113.76553541362551
United Kingdom,all_cvd,2013,Male,113.28442943355671
United Kingdom,all_cvd,2014,Male,108.75789816502429
United Kingdom,all_cvd,2015,Male,108.9983729813348
United Kingdom,all_cvd,2016,Male,106.90582157511174
United Kingdom,all_cvd,2017,Male,105.42877420616723
United Kingdom,all_cvd,2018,Male,105.73214364434997
United Kingdom,all_cvd,2019,Male,102.95154792134386
United Kingdom,all_cvd,1969,Female,249.6288
United Kingdom,all_cvd,1971,Female,232.8736
United Kingdom,all_cvd,1973,Female,233.1886
United Kingdom,all_cvd,1975,Female,220.9392
United Kingdom,all_cvd,1977,Female,212.794
United Kingdom,all_cvd,1979,Female,211.4678
United Kingdom,all_cvd,1981,Female,195.786
United Kingdom,all_cvd,1983,Female,188.0748
United Kingdom,all_cvd,1985,Female,179.4513
United Kingdom,all_cvd,1987,Female,167.7208
United Kingdom,all_cvd,1989,Female,158.3231
United Kingdom,all_cvd,1991,Female,146.9446
United Kingdom,all_cvd,1993,Female,140.0387
United Kingdom,all_cvd,1994,Female,143.7400656919512
United Kingdom,all_cvd,1995,Female,139.55411790691284
United Kingdom,all_cvd,1996,Female,134.76423818136286
United Kingdom,all_cvd,1997,Female,128.357825505834
United Kingdom,all_cvd,1998,Female,123.53753240458026
United Kingdom,all_cvd,1999,Female,115.58662043206259
United Kingdom,all_cvd,2000,Female,106.9666969788829
United Kingdom,all_cvd,2001,Female,102.64509904211165
United Kingdom,all_cvd,2002,Female,97.620329321303
United Kingdom,all_cvd,2003,Female,92.11923525902289
United Kingdom,all_cvd,2004,Female,84.3783386565498
United Kingdom,all_cvd,2005,Female,79.17864359616725
United Kingdom,all_cvd,2006,Female,74.38620201371312
United Kingdom,all_cvd,2007,Female,69.45716155837009
United Kingdom,all_cvd,2008,Female,66.03513875564552
United Kingdom,all_cvd,2009,Female,60.47199273811204
United Kingdom,all_cvd,2010,Female,58.252561245997036
United Kingdom,all_cvd,2011,Female,53.99249809898418
United Kingdom,all_cvd,2012,Female,52.81862407876234
United Kingdom,all_cvd,2013,Female,50.83172876302274
United Kingdom,all_cvd,2014,Female,48.75786558735022
United Kingdom,all_cvd,2015,Female,50.1071863801151
United Kingdom,all_cvd,2016,Female,49.090147731232314
United Kingdom,all_cvd,2017,Female,47.29729942579029
United Kingdom,all_cvd,2018,Female,47.291959943892785
United Kingdom,all_cvd,2019,Female,46.08012674192956
Wales,all_cvd,1969,Male,579.6231
Wales,all_cvd,1971,Male,548.804
Wales,all_cvd,1973,Male,543.9907
Wales,all_cvd,1975,Male,543.4694
Wales,all_cvd,1977,Male,521.0532
Wales,all_cvd,1979,Male,503.9591
Wales,all_cvd,1981,Male,469.3091
Wales,all_cvd,1983,Male,464.3927
Wales,all_cvd,1985,Male,433.3504
Wales,all_cvd,1987,Male,389.582
Wales,all_cvd,1989,Male,363.2601
Wales,all_cvd,1991,Male,336.9482
Wales,all_cvd,1993,Male,328.7413
Wales,all_cvd,1994,Male,324.1235225269961
Wales,all_cvd,1995,Male,322.8095121222974
Wales,all_cvd,1996,Male,309.91727482276985
Wales,all_cvd,1997,Male,298.0454540438779
Wales,all_cvd,1998,Male,278.2898760162549
Wales,all_cvd,1999,Male,275.4420037298612
Wales,all_cvd,2000,Male,247.89796263012846
Wales,all_cvd,2001,Male,240.4502212612804
Wales,all_cvd,2002,Male,229.94171506106466
Wales,all_cvd,2003,Male,219.21937890364654
Wales,all_cvd,2004,Male,191.62079652353208
Wales,all_cvd,2005,Male,189.72050814189683
Wales,all_cvd,2006,Male,172.62627669185875
Wales,all_cvd,2007,Male,160.94712493425848
Wales,all_cvd,2008,Male,152.1001771422302
Wales,all_cvd,2009,Male,146.5869430614441
Wales,all_cvd,2010,Male,136.87495865095647
Wales,all_cvd,2011,Male,130.8166879209298
Wales,all_cvd,2012,Male,124.57690681661612
Wales,all_cvd,2013,Male,126.43993895883649
Wales,all_cvd,2014,Male,117.56692338260228
Wales,all_cvd,2015,Male,125.33100111109911
Wales,all_cvd,2016,Male,120.24420273763833
Wales,all_cvd,2017,Male,123.37393455975922
Wales,all_cvd,2018,Male,120.2629731155126
Wales,all_cvd,2019,Male,119.02322094680454
Wales,all_cvd,1969,Female,286.3763
Wales,all_cvd,1971,Female,263.0812
Wales,all_cvd,1973,Female,265.1608
Wales,all_cvd,1975,Female,252.848
Wales,all_cvd,1977,Female,244.7049
Wales,all_cvd,1979,Female,230.1999
Wales,all_cvd,1981,Female,210.3645
Wales,all_cvd,1983,Female,205.9911
Wales,all_cvd,1985,Female,193.7119
Wales,all_cvd,1987,Female,181.3288
Wales,all_cvd,1989,Female,171.2279
Wales,all_cvd,1991,Female,149.9071
Wales,all_cvd,1993,Female,148.6253
Wales,all_cvd,1994,Female,155.04409205353284
Wales,all_cvd,1995,Female,150.21613810346915
Wales,all_cvd,1996,Female,143.48027820422274
Wales,all_cvd,1997,Female,141.39705697848265
Wales,all_cvd,1998,Female,129.09782194366858
Wales,all_cvd,1999,Female,123.65490689379293
Wales,all_cvd,2000,Female,115.71402430989204
Wales,all_cvd,2001,Female,115.4705857195114
Wales,all_cvd,2002,Female,109.15507755581224
Wales,all_cvd,2003,Female,101.78579012080466
Wales,all_cvd,2004,Female,96.28057501198708
Wales,all_cvd,2005,Female,88.6722600668981
Wales,all_cvd,2006,Female,79.3725845204174
Wales,all_cvd,2007,Female,77.6435412878113
Wales,all_cvd,2008,Female,73.36905165207827
Wales,all_cvd,2009,Female,70.22686498694337
Wales,all_cvd,2010,Female,64.08247601979298
Wales,all_cvd,2011,Female,63.57984901085007
Wales,all_cvd,2012,Female,59.92845726128563
Wales,all_cvd,2013,Female,57.252279434907074
Wales,all_cvd,2014,Female,54.979913144121916
Wales,all_cvd,2015,Female,59.420450989093695
Wales,all_cvd,2016,Female,56.84660094581729
Wales,all_cvd,2017,Female,51.59909963711306
Wales,all_cvd,2018,Female,55.55136430197735
Wales,all_cvd,2019,Female,52.82647882642732
England,chd,1969,Male,305.2866
England,chd,1971,Male,304.9132
England,chd,1973,Male,312.0907
England,chd,1975,Male,309.2336
England,chd,1977,Male,305.1035
England,chd,1979,Male,308.0188
England,chd,1981,Male,293.6633
England,chd,1983,Male,287.1671
England,chd,1985,Male,279.8741
England,chd,1987,Male,261.3579
England,chd,1989,Male,237.7515
England,chd,1991,Male,221.8105
England,chd,1993,Male,208.3011
England,chd,1994,Male,208.1845525990269
England,chd,1995,Male,200.60524830021063
England,chd,1996,Male,191.6353627844021
England,chd,1997,Male,177.79092027088393
England,chd,1998,Male,169.98545084046748
England,chd,1999,Male,158.66223739099553
England,chd,2000,Male,148.24556728802207
England,chd,2001,Male,139.30097988273243
England,chd,2002,Male,130.051896844227
England,chd,2003,Male,122.66481482201912
England,chd,2004,Male,112.14204755287304
England,chd,2005,Male,103.9211711647533
England,chd,2006,Male,95.84527635713073
England,chd,2007,Male,90.05871182956659
England,chd,2008,Male,85.12975660513004
England,chd,2009,Male,78.71855916906505
England,chd,2010,Male,75.44136109253711
England,chd,2011,Male,69.29267394411184
England,chd,2012,Male,65.42415405089288
England,chd,2013,Male,65.40795717347832
England,chd,2014,Male,62.284697690014326
England,chd,2015,Male,61.20187762550322
England,chd,2016,Male,59.83335038382794
England,chd,2017,Male,59.33748183636576
England,chd,2018,Male,59.635043767720724
England,chd,2019,Male,56.692672716854815
England,chd,1969,Female,104.6579
England,chd,1971,Female,101.3591
England,chd,1973,Female,107.2477
England,chd,1975,Female,105.1813
England,chd,1977,Female,103.6884
England,chd,1979,Female,104.4394
England,chd,1981,Female,100.8263
England,chd,1983,Female,99.49143
England,chd,1985,Female,99.42915
England,chd,1987,Female,94.57425
England,chd,1989,Female,89.31271
England,chd,1991,Female,84.09772
England,chd,1993,Female,76.86691
England,chd,1994,Female,76.93982018595455
England,chd,1995,Female,73.47012400899206
England,chd,1996,Female,70.09227707533722
England,chd,1997,Female,65.3965680760906
England,chd,1998,Female,62.86654937946477
England,chd,1999,Female,57.33324860789811
England,chd,2000,Female,52.16098906921409
England,chd,2001,Female,49.634217326942604
England,chd,2002,Female,46.293267213597034
England,chd,2003,Female,42.37967469387069
England,chd,2004,Female,37.768546142777005
England,chd,2005,Female,34.66608321010549
England,chd,2006,Female,32.26305103945394
England,chd,2007,Female,29.291985141992967
England,chd,2008,Female,28.3834643767328
England,chd,2009,Female,24.20608450211214
England,chd,2010,Female,23.42981925504624
England,chd,2011,Female,21.253065086487382
England,chd,2012,Female,20.638586979130476
England,chd,2013,Female,20.126892686229017
England,chd,2014,Female,18.88100033336206
England,chd,2015,Female,19.2101930807162
England,chd,2016,Female,18.330991340011106
England,chd,2017,Female,17.882878458565653
England,chd,2018,Female,17.440981720970136
England,chd,2019,Female,17.105164677185883
Northern Ireland,chd,1969,Male,-
Northern Ireland,chd,1971,Male,-
Northern Ireland,chd,1973,Male,-
Northern Ireland,chd,1975,Male,389.8373
Northern Ireland,chd,1977,Male,406.3231
Northern Ireland,chd,1979,Male,402.6336
Northern Ireland,chd,1981,Male,387.9262
Northern Ireland,chd,1983,Male,365.7015
Northern Ireland,chd,1985,Male,347.4423
Northern Ireland,chd,1987,Male,318.854
Northern Ireland,chd,1989,Male,297.7755
Northern Ireland,chd,1991,Male,265.3856
Northern Ireland,chd,1993,Male,253.5933
Northern Ireland,chd,1994,Male,255.00847241902756
Northern Ireland,chd,1995,Male,255.23210365556534
Northern Ireland,chd,1996,Male,230.2393924907695
Northern Ireland,chd,1997,Male,223.76169907829927
Northern Ireland,chd,1998,Male,203.4831878713909
Northern Ireland,chd,1999,Male,195.44731617840822
Northern Ireland,chd,2000,Male,167.6596295128245
Northern Ireland,chd,2001,Male,152.97358762474437
Northern Ireland,chd,2002,Male,146.21340541872047
Northern Ireland,chd,2003,Male,131.14889858309851
Northern Ireland,chd,2004,Male,129.86973431543095
Northern Ireland,chd,2005,Male,117.0483268876165
Northern Ireland,chd,2006,Male,110.08032424530165
Northern Ireland,chd,2007,Male,106.76157889756253
Northern Ireland,chd,2008,Male,93.72661979248564
Northern Ireland,chd,2009,Male,88.61031154260613
Northern Ireland,chd,2010,Male,88.96838144817724
Northern Ireland,chd,2011,Male,82.46340303073455
Northern Ireland,chd,2012,Male,74.5696149372789
Northern Ireland,chd,2013,Male,71.49455350421098
Northern Ireland,chd,2014,Male,63.49194085408573
Northern Ireland,chd,2015,Male,66.6099429602825
Northern Ireland,chd,2016,Male,57.12424170456923
Northern Ireland,chd,2017,Male,61.830964964464236
Northern Ireland,chd,2018,Male,56.04981603337928
Northern Ireland,chd,2019,Male,56.455304133831014
Northern Ireland,chd,1969,Female,-
Northern Ireland,chd,1971,Female,-
Northern Ireland,chd,1973,Female,-
Northern Ireland,chd,1975,Female,143.8302
Northern Ireland,chd,1977,Female,152.8836
Northern Ireland,chd,1979,Female,154.5965
Northern Ireland,chd,1981,Female,147.0937
Northern Ireland,chd,1983,Female,138.4808
Northern Ireland,chd,1985,Female,134.6749
Northern Ireland,chd,1987,Female,123.7844
Northern Ireland,chd,1989,Female,115.2762
Northern Ireland,chd,1991,Female,101.5658
Northern Ireland,chd,1993,Female,101.6656
Northern Ireland,chd,1994,Female,104.85790048392177
Northern Ireland,chd,1995,Female,104.07072747019826
Northern Ireland,chd,1996,Female,89.90633273961132
Northern Ireland,chd,1997,Female,82.27043391097321
Northern Ireland,chd,1998,Female,74.88572376455977
Northern Ireland,chd,1999,Female,70.75855513507535
Northern Ireland,chd,2000,Female,62.50300218792882
Northern Ireland,chd,2001,Female,59.738646139877204
Northern Ireland,chd,2002,Female,54.88790682425638
Northern Ireland,chd,2003,Female,44.827995392141595
Northern Ireland,chd,2004,Female,44.819359256285665
Northern Ireland,chd,2005,Female,42.69065909904921
Northern Ireland,chd,2006,Female,41.34899801813783
Northern Ireland,chd,2007,Female,35.39969708353003
Northern Ireland,chd,2008,Female,33.392681881183115
Northern Ireland,chd,2009,Female,33.2653093166536
Northern Ireland,chd,2010,Female,28.500413266822
Northern Ireland,chd,2011,Female,23.948983642089228
Northern Ireland,chd,2012,Female,22.982485866066085
Northern Ireland,chd,2013,Female,22.093829292143543
Northern Ireland,chd,2014,Female,21.657187370774835
Northern Ireland,chd,2015,Female,22.49367128089511
Northern Ireland,chd,2016,Female,20.24340099813659
Northern Ireland,chd,2017,Female,19.104487139408267
Northern Ireland,chd,2018,Female,17.7591540917734
Northern Ireland,chd,2019,Female,18.75668942171305
Scotland,chd,1969,Male,384.8706
Scotland,chd,1971,Male,382.8971
Scotland,chd,1973,Male,402.188
Scotland,chd,1975,Male,379.4587
Scotland,chd,1977,Male,372.4097
Scotland,chd,1979,Male,384.0245
Scotland,chd,1981,Male,368.2567
Scotland,chd,1983,Male,364.6714
Scotland,chd,1985,Male,352.6976
Scotland,chd,1987,Male,337.8389
Scotland,chd,1989,Male,314.1167
Scotland,chd,1991,Male,284.1256
Scotland,chd,1993,Male,274.3446
Scotland,chd,1994,Male,273.3392455100467
Scotland,chd,1995,Male,258.8722311756213
Scotland,chd,1996,Male,248.75924829294414
Scotland,chd,1997,Male,230.9490951064189
Scotland,chd,1998,Male,221.9694706037701
Scotland,chd,1999,Male,211.7894993784759
Scotland,chd,2000,Male,191.24805352946927
Scotland,chd,2001,Male,175.18425802598145
Scotland,chd,2002,Male,165.16264097125202
Scotland,chd,2003,Male,163.58163019103336
Scotland,chd,2004,Male,147.9772461281942
Scotland,chd,2005,Male,141.93805610647073
Scotland,chd,2006,Male,125.3005928969459
Scotland,chd,2007,Male,127.76926442924649
Scotland,chd,2008,Male,115.69834776768653
Scotland,chd,2009,Male,102.57439409563304
Scotland,chd,2010,Male,101.11586588359107
Scotland,chd,2011,Male,93.4439130374737
